Polling Place ID,POLL_NAME,ADDRESS,CITY,STATE,ZIP,PRECINCT
44,"CULLEY, PAUL ELEMENTARY",1200 N MALLARD ST,LAS VEGAS,NV,89108,3804
280,CUNNINGHAM ELEMENTARY,4145 JIMMY DURANTE,LAS VEGAS,NV,89122,5396
280,CUNNINGHAM ELEMENTARY,4145 JIMMY DURANTE,LAS VEGAS,NV,89122,5634
280,CUNNINGHAM ELEMENTARY,4145 JIMMY DURANTE,LAS VEGAS,NV,89122,5635
280,CUNNINGHAM ELEMENTARY,4145 JIMMY DURANTE,LAS VEGAS,NV,89122,5636
45,"DAILEY, JACK ELEMENTARY",2001 E RENO AVE,LAS VEGAS,NV,89119,7312
45,"DAILEY, JACK ELEMENTARY",2001 E RENO AVE,LAS VEGAS,NV,89119,7507
45,"DAILEY, JACK ELEMENTARY",2001 E RENO AVE,LAS VEGAS,NV,89119,7512
375,"DARNELL, MARSHALL ELEMENTARY",9480 W TROPICAL PKWY,LAS VEGAS,NV,89149,3608
375,"DARNELL, MARSHALL ELEMENTARY",9480 W TROPICAL PKWY,LAS VEGAS,NV,89149,3609
375,"DARNELL, MARSHALL ELEMENTARY",9480 W TROPICAL PKWY,LAS VEGAS,NV,89149,3610
46,"DEARING, LAURA ELEMENTARY",3046 FERNDALE ST,LAS VEGAS,NV,89121,5029
46,"DEARING, LAURA ELEMENTARY",3046 FERNDALE ST,LAS VEGAS,NV,89121,5036
46,"DEARING, LAURA ELEMENTARY",3046 FERNDALE ST,LAS VEGAS,NV,89121,5400
46,"DEARING, LAURA ELEMENTARY",3046 FERNDALE ST,LAS VEGAS,NV,89121,5621
47,"DECKER, CLARABELLE ELEMENTARY",3850 REDWOOD ST,LAS VEGAS,NV,89103,6062
47,"DECKER, CLARABELLE ELEMENTARY",3850 REDWOOD ST,LAS VEGAS,NV,89103,6431
47,"DECKER, CLARABELLE ELEMENTARY",3850 REDWOOD ST,LAS VEGAS,NV,89103,6691
47,"DECKER, CLARABELLE ELEMENTARY",3850 REDWOOD ST,LAS VEGAS,NV,89103,6692
473,DEL SOL HIGH SCHOOL,3100 E PATRICK LN,LAS VEGAS,NV,89120,1682
473,DEL SOL HIGH SCHOOL,3100 E PATRICK LN,LAS VEGAS,NV,89120,7706
473,DEL SOL HIGH SCHOOL,3100 E PATRICK LN,LAS VEGAS,NV,89120,7723
430,DEL WEBB MIDDLE SCHOOL,2200 REUNION DR,HENDERSON,NV,89052,1395
430,DEL WEBB MIDDLE SCHOOL,2200 REUNION DR,HENDERSON,NV,89052,1511
430,DEL WEBB MIDDLE SCHOOL,2200 REUNION DR,HENDERSON,NV,89052,1520
430,DEL WEBB MIDDLE SCHOOL,2200 REUNION DR,HENDERSON,NV,89052,1550
48,"DERFELT, HERBERT ELEMENTARY",1900 S LISA LN,LAS VEGAS,NV,89117,6632
48,"DERFELT, HERBERT ELEMENTARY",1900 S LISA LN,LAS VEGAS,NV,89117,6633
48,"DERFELT, HERBERT ELEMENTARY",1900 S LISA LN,LAS VEGAS,NV,89117,6634
48,"DERFELT, HERBERT ELEMENTARY",1900 S LISA LN,LAS VEGAS,NV,89117,6642
322,DESERT BREEZE COMMUNITY CENTER,8275 SPRING MOUNTAIN RD,LAS VEGAS,NV,89117,6109
322,DESERT BREEZE COMMUNITY CENTER,8275 SPRING MOUNTAIN RD,LAS VEGAS,NV,89117,6440
322,DESERT BREEZE COMMUNITY CENTER,8275 SPRING MOUNTAIN RD,LAS VEGAS,NV,89117,6674
322,DESERT BREEZE COMMUNITY CENTER,8275 SPRING MOUNTAIN RD,LAS VEGAS,NV,89117,6675
484,DESERT OASIS HIGH SCHOOL,6600 W. ERIE AVE,LAS VEGAS,NV,89141,6531
484,DESERT OASIS HIGH SCHOOL,6600 W. ERIE AVE,LAS VEGAS,NV,89141,6609
484,DESERT OASIS HIGH SCHOOL,6600 W. ERIE AVE,LAS VEGAS,NV,89141,6610
293,DESERT PINES HIGH SCHOOL,3800 HARRIS AVE,LAS VEGAS,NV,89110,4384
293,DESERT PINES HIGH SCHOOL,3800 HARRIS AVE,LAS VEGAS,NV,89110,4530
293,DESERT PINES HIGH SCHOOL,3800 HARRIS AVE,LAS VEGAS,NV,89110,4552
293,DESERT PINES HIGH SCHOOL,3800 HARRIS AVE,LAS VEGAS,NV,89110,4557
51,DESERT VISTA COMMUNITY CENTER,10360 SUN CITY BLVD,LAS VEGAS,NV,89134,3040
51,DESERT VISTA COMMUNITY CENTER,10360 SUN CITY BLVD,LAS VEGAS,NV,89134,3383
51,DESERT VISTA COMMUNITY CENTER,10360 SUN CITY BLVD,LAS VEGAS,NV,89134,3413
51,DESERT VISTA COMMUNITY CENTER,10360 SUN CITY BLVD,LAS VEGAS,NV,89134,3727
51,DESERT VISTA COMMUNITY CENTER,10360 SUN CITY BLVD,LAS VEGAS,NV,89134,3728
51,DESERT VISTA COMMUNITY CENTER,10360 SUN CITY BLVD,LAS VEGAS,NV,89134,3788
52,DESERT WILLOW CLUBHOUSE,2020 W HORIZON RIDGE PKWY,HENDERSON,NV,89012,1513
52,DESERT WILLOW CLUBHOUSE,2020 W HORIZON RIDGE PKWY,HENDERSON,NV,89012,1514
52,DESERT WILLOW CLUBHOUSE,2020 W HORIZON RIDGE PKWY,HENDERSON,NV,89012,1517
52,DESERT WILLOW CLUBHOUSE,2020 W HORIZON RIDGE PKWY,HENDERSON,NV,89012,1674
52,DESERT WILLOW CLUBHOUSE,2020 W HORIZON RIDGE PKWY,HENDERSON,NV,89012,7641
52,DESERT WILLOW CLUBHOUSE,2020 W HORIZON RIDGE PKWY,HENDERSON,NV,89012,7642
53,"DESKIN, RUTHE ELEMENTARY",4550 N PIONEER WAY,LAS VEGAS,NV,89129,3702
53,"DESKIN, RUTHE ELEMENTARY",4550 N PIONEER WAY,LAS VEGAS,NV,89129,3704
53,"DESKIN, RUTHE ELEMENTARY",4550 N PIONEER WAY,LAS VEGAS,NV,89129,3759
471,"DICKENS, D L (DUSTY) ELEMENTARY",5550 MILAN PEAK ST,NORTH LAS VEGAS,NV,89081,2464
471,"DICKENS, D L (DUSTY) ELEMENTARY",5550 MILAN PEAK ST,NORTH LAS VEGAS,NV,89081,2729
471,"DICKENS, D L (DUSTY) ELEMENTARY",5550 MILAN PEAK ST,NORTH LAS VEGAS,NV,89081,2730
54,"DISKIN, PAT ELEMENTARY",4220 RAVENWOOD DR,LAS VEGAS,NV,89147,1615
54,"DISKIN, PAT ELEMENTARY",4220 RAVENWOOD DR,LAS VEGAS,NV,89147,1621
54,"DISKIN, PAT ELEMENTARY",4220 RAVENWOOD DR,LAS VEGAS,NV,89147,6704
55,"DONDERO, HARVEY ELEMENTARY",4450 RIDGEVILLE ST,LAS VEGAS,NV,89103,1624
55,"DONDERO, HARVEY ELEMENTARY",4450 RIDGEVILLE ST,LAS VEGAS,NV,89103,1625
55,"DONDERO, HARVEY ELEMENTARY",4450 RIDGEVILLE ST,LAS VEGAS,NV,89103,1631
55,"DONDERO, HARVEY ELEMENTARY",4450 RIDGEVILLE ST,LAS VEGAS,NV,89103,1632
56,"DOOLEY, JOHN ELEMENTARY",1940 CHICKASAW DR,HENDERSON,NV,89015,7583
56,"DOOLEY, JOHN ELEMENTARY",1940 CHICKASAW DR,HENDERSON,NV,89015,7584
56,"DOOLEY, JOHN ELEMENTARY",1940 CHICKASAW DR,HENDERSON,NV,89015,7585
57,"DOWN, JAMES TOWERS",5000 ALTA DR,LAS VEGAS,NV,89107,3796
58,DULA GYM,441 E BONANZA RD,LAS VEGAS,NV,89101,4510
58,DULA GYM,441 E BONANZA RD,LAS VEGAS,NV,89101,4601
59,DURANGO HIGH SCHOOL,7100 W DEWEY DR,LAS VEGAS,NV,89113,1038
59,DURANGO HIGH SCHOOL,7100 W DEWEY DR,LAS VEGAS,NV,89113,1039
